Service,Discovery URL
domains,https://domains.googleapis.com/$discovery/rest?version=v1
doubleclickbidmanager,https://doubleclickbidmanager.googleapis.com/$discovery/rest?version=v2
doubleclicksearch,https://doubleclicksearch.googleapis.com/$discovery/rest?version=v2
www,https://www.googleapis.com/discovery/v1/apis/drive/v2/rest
www,https://www.googleapis.com/discovery/v1/apis/drive/v3/rest
driveactivity,https://driveactivity.googleapis.com/$discovery/rest?version=v2
drivelabels,https://drivelabels.googleapis.com/$discovery/rest?version=v2beta
drivelabels,https://drivelabels.googleapis.com/$discovery/rest?version=v2
essentialcontacts,https://essentialcontacts.googleapis.com/$discovery/rest?version=v1
eventarc,https://eventarc.googleapis.com/$discovery/rest?version=v1
factchecktools,https://factchecktools.googleapis.com/$discovery/rest?version=v1alpha1
fcm,https://fcm.googleapis.com/$discovery/rest?version=v1
fcmdata,https://fcmdata.googleapis.com/$discovery/rest?version=v1beta1
file,https://file.googleapis.com/$discovery/rest?version=v1beta1
file,https://file.googleapis.com/$discovery/rest?version=v1
firebase,https://firebase.googleapis.com/$discovery/rest?version=v1beta1
firebaseappcheck,https://firebaseappcheck.googleapis.com/$discovery/rest?version=v1beta
firebaseappcheck,https://firebaseappcheck.googleapis.com/$discovery/rest?version=v1
firebaseappdistribution,https://firebaseappdistribution.googleapis.com/$discovery/rest?version=v1alpha
firebaseappdistribution,https://firebaseappdistribution.googleapis.com/$discovery/rest?version=v1
firebasedatabase,https://firebasedatabase.googleapis.com/$discovery/rest?version=v1beta
firebasedataconnect,https://firebasedataconnect.googleapis.com/$discovery/rest?version=v1beta
firebasedynamiclinks,https://firebasedynamiclinks.googleapis.com/$discovery/rest?version=v1
firebasehosting,https://firebasehosting.googleapis.com/$discovery/rest?version=v1beta1
firebasehosting,https://firebasehosting.googleapis.com/$discovery/rest?version=v1
firebaseml,https://firebaseml.googleapis.com/$discovery/rest?version=v1beta2
firebaseml,https://firebaseml.googleapis.com/$discovery/rest?version=v2beta
firebaseml,https://firebaseml.googleapis.com/$discovery/rest?version=v1
firebaserules,https://firebaserules.googleapis.com/$discovery/rest?version=v1
firebasestorage,https://firebasestorage.googleapis.com/$discovery/rest?version=v1beta
firestore,https://firestore.googleapis.com/$discovery/rest?version=v1beta1
firestore,https://firestore.googleapis.com/$discovery/rest?version=v1beta2
firestore,https://firestore.googleapis.com/$discovery/rest?version=v1
fitness,https://fitness.googleapis.com/$discovery/rest?version=v1
forms,https://forms.googleapis.com/$discovery/rest?version=v1
games,https://games.googleapis.com/$discovery/rest?version=v1
gamesconfiguration,https://gamesconfiguration.googleapis.com/$discovery/rest?version=v1configuration
gamesmanagement,https://gamesmanagement.googleapis.com/$discovery/rest?version=v1management
gkebackup,https://gkebackup.googleapis.com/$discovery/rest?version=v1
gkehub,https://gkehub.googleapis.com/$discovery/rest?version=v1alpha
gkehub,https://gkehub.googleapis.com/$discovery/rest?version=v2alpha
gkehub,https://gkehub.googleapis.com/$discovery/rest?version=v1beta
gkehub,https://gkehub.googleapis.com/$discovery/rest?version=v1beta1
gkehub,https://gkehub.googleapis.com/$discovery/rest?version=v2beta
gkehub,https://gkehub.googleapis.com/$discovery/rest?version=v1
gkehub,https://gkehub.googleapis.com/$discovery/rest?version=v2
gkeonprem,https://gkeonprem.googleapis.com/$discovery/rest?version=v1
gmail,https://gmail.googleapis.com/$discovery/rest?version=v1
gmailpostmastertools,https://gmailpostmastertools.googleapis.com/$discovery/rest?version=v1beta1
gmailpostmastertools,https://gmailpostmastertools.googleapis.com/$discovery/rest?version=v1
groupsmigration,https://groupsmigration.googleapis.com/$discovery/rest?version=v1
groupssettings,https://groupssettings.googleapis.com/$discovery/rest?version=v1
healthcare,https://healthcare.googleapis.com/$discovery/rest?version=v1beta1
healthcare,https://healthcare.googleapis.com/$discovery/rest?version=v1
homegraph,https://homegraph.googleapis.com/$discovery/rest?version=v1
iam,https://iam.googleapis.com/$discovery/rest?version=v2beta
iam,https://iam.googleapis.com/$discovery/rest?version=v1
iam,https://iam.googleapis.com/$discovery/rest?version=v2
iamcredentials,https://iamcredentials.googleapis.com/$discovery/rest?version=v1
iap,https://iap.googleapis.com/$discovery/rest?version=v1beta1
iap,https://iap.googleapis.com/$discovery/rest?version=v1
identitytoolkit,https://identitytoolkit.googleapis.com/$discovery/rest?version=v1
identitytoolkit,https://identitytoolkit.googleapis.com/$discovery/rest?version=v2
identitytoolkit,https://identitytoolkit.googleapis.com/$discovery/rest?version=v3
ids,https://ids.googleapis.com/$discovery/rest?version=v1
indexing,https://indexing.googleapis.com/$discovery/rest?version=v3
integrations,https://integrations.googleapis.com/$discovery/rest?version=v1
jobs,https://jobs.googleapis.com/$discovery/rest?version=v3p1beta1
jobs,https://jobs.googleapis.com/$discovery/rest?version=v3
jobs,https://jobs.googleapis.com/$discovery/rest?version=v4
keep,https://keep.googleapis.com/$discovery/rest?version=v1
kgsearch,https://kgsearch.googleapis.com/$discovery/rest?version=v1
kmsinventory,https://kmsinventory.googleapis.com/$discovery/rest?version=v1
language,https://language.googleapis.com/$discovery/rest?version=v1beta2
language,https://language.googleapis.com/$discovery/rest?version=v1
language,https://language.googleapis.com/$discovery/rest?version=v2
libraryagent,https://libraryagent.googleapis.com/$discovery/rest?version=v1
licensing,https://licensing.googleapis.com/$discovery/rest?version=v1
lifesciences,https://lifesciences.googleapis.com/$discovery/rest?version=v2beta
localservices,https://localservices.googleapis.com/$discovery/rest?version=v1
logging,https://logging.googleapis.com/$discovery/rest?version=v2
looker,https://looker.googleapis.com/$discovery/rest?version=v1
managedidentities,https://managedidentities.googleapis.com/$discovery/rest?version=v1alpha1
managedidentities,https://managedidentities.googleapis.com/$discovery/rest?version=v1beta1
managedidentities,https://managedidentities.googleapis.com/$discovery/rest?version=v1
manufacturers,https://manufacturers.googleapis.com/$discovery/rest?version=v1
marketingplatformadmin,https://marketingplatformadmin.googleapis.com/$discovery/rest?version=v1alpha
